GameID,Season,Week,Team,TeamID,Location,Opponent,OpponentID,Win,PTS,PTS_Opp,Diff,VAL,T2M,T2A,T2%,T3M,T3A,T3%,FTM,FTA,FT%,FGM,FGA,FG%,ORB,DRB,TRB,AST,STL,TOV,BLK,PF,PF_R,Game_Poss,Team_Poss,ORTG,DRTG,NET_RTG,PPP,PPS,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,%FGM_Ast,TOV%,AST/TO,AST_Ratio
104459,2025,Jornada 1,UNI,4384,HOME,SBB,4389,1,86,68,18,96,25,43,58.1,7,18,38.9,15,22,68.2,32,61,52.5,10,25,35,26,7,16,0,25,22,76.0,76.7,113.2,89.5,23.7,1.12,1.41,60.8,58.2,29.5,36.1,33.3,75.8,55.6,81.2,18.5,1.62,33.9
104459,2025,Jornada 1,SBB,4389,AWAY,UNI,4384,0,68,86,-18,64,16,33,48.5,6,23,26.1,18,28,64.3,22,56,39.3,8,20,28,13,8,15,3,22,25,76.0,75.3,89.5,113.2,-23.7,0.9,1.21,49.8,44.6,41.1,50.0,24.2,66.7,44.4,59.1,18.0,0.87,17.3
104460,2025,Jornada 1,BUR,4402,HOME,GIR,4399,1,97,79,18,109,23,38,60.5,8,33,24.2,27,34,79.4,31,71,43.7,12,29,41,15,15,15,3,26,27,90.2,89.0,107.5,87.5,19.9,1.09,1.37,56.4,49.3,46.5,47.9,33.3,80.6,56.9,48.4,14.9,1.0,16.9
104460,2025,Jornada 1,GIR,4399,AWAY,BUR,4402,0,79,97,-18,70,20,36,55.6,5,30,16.7,24,33,72.7,25,66,37.9,7,24,31,23,10,18,1,28,25,90.2,91.5,87.5,107.5,-19.9,0.86,1.2,49.1,41.7,45.5,50.0,19.4,66.7,43.1,92.0,18.3,1.28,25.1
104461,2025,Jornada 1,TEN,4391,HOME,MAN,4396,1,104,93,11,123,23,42,54.8,11,27,40.7,25,28,89.3,34,69,49.3,13,23,36,16,10,12,1,18,26,82.1,80.3,126.6,113.2,13.4,1.29,1.51,63.9,57.2,39.1,40.6,40.6,76.7,58.1,47.1,12.9,1.33,19.9
104461,2025,Jornada 1,MAN,4396,AWAY,TEN,4391,0,93,104,-11,88,28,50,56.0,7,19,36.8,16,18,88.9,35,69,50.7,7,19,26,23,4,14,2,26,17,82.1,83.9,113.2,126.6,-13.4,1.11,1.35,60.5,55.8,27.5,26.1,23.3,59.4,41.9,65.7,15.4,1.64,27.4
104462,2025,Jornada 1,LLE,4387,HOME,BRE,4395,1,87,68,19,110,27,43,62.8,8,27,29.6,9,19,47.4,35,70,50.0,14,33,47,27,8,11,5,22,19,77.2,75.4,112.6,88.0,24.6,1.15,1.24,55.5,55.7,38.6,27.1,43.8,76.7,62.7,77.1,12.3,2.45,35.8
104462,2025,Jornada 1,BRE,4395,AWAY,LLE,4387,0,68,87,-19,56,14,35,40.0,8,32,25.0,16,23,69.6,22,67,32.8,10,18,28,17,3,12,6,19,22,77.2,79.1,88.0,112.6,-24.6,0.86,1.01,44.1,38.8,47.8,34.3,23.3,56.2,37.3,77.3,13.5,1.42,21.5
104463,2025,Jornada 1,COV,4401,HOME,JOV,4394,0,75,87,-12,65,22,40,55.0,4,18,22.2,19,31,61.3,26,58,44.8,7,24,31,12,3,11,2,20,22,74.2,75.6,101.1,117.2,-16.2,0.99,1.29,52.3,48.3,31.0,53.4,22.6,66.7,46.3,46.2,13.3,1.09,15.9
104463,2025,Jornada 1,JOV,4394,AWAY,COV,4401,1,87,75,12,103,29,46,63.0,4,26,15.4,17,20,85.0,33,72,45.8,12,24,36,18,8,4,5,23,20,74.2,72.8,117.2,101.1,16.2,1.2,1.21,53.8,48.6,36.1,27.8,33.3,77.4,53.7,54.5,4.7,4.5,24.7
104464,2025,Jornada 1,RMB,4388,HOME,GCA,4390,1,81,71,10,85,15,31,48.4,14,30,46.7,9,14,64.3,29,61,47.5,6,21,27,22,6,11,4,21,18,72.2,72.2,112.3,98.4,13.9,1.12,1.33,60.3,59.0,49.2,23.0,20.7,77.8,48.2,75.9,14.1,2.0,30.5
104464,2025,Jornada 1,GCA,4390,AWAY,RMB,4388,0,71,81,-10,76,17,30,56.7,9,27,33.3,10,14,71.4,26,57,45.6,6,23,29,16,7,15,4,18,21,72.2,72.2,98.4,112.3,-13.9,0.98,1.25,56.2,53.5,47.4,24.6,22.2,79.3,51.8,61.5,19.2,1.07,22.2
104465,2025,Jornada 1,CAZ,4392,HOME,BKN,4398,1,107,88,19,120,34,54,63.0,8,26,30.8,15,22,68.2,42,80,52.5,14,27,41,24,8,13,1,23,24,87.2,88.7,122.7,100.9,21.8,1.21,1.34,59.7,57.5,32.5,27.5,35.9,65.9,51.2,57.1,12.7,1.85,27.1
104465,2025,Jornada 1,BKN,4398,AWAY,CAZ,4392,0,88,107,-19,88,26,42,61.9,4,28,14.3,24,29,82.8,30,70,42.9,14,25,39,15,8,17,4,25,22,87.2,85.8,100.9,122.7,-21.8,1.03,1.26,53.2,45.7,40.0,41.4,34.1,64.1,48.8,50.0,17.0,0.88,17.5
104466,2025,Jornada 1,UCM,4393,HOME,MBA,4385,1,95,64,31,115,18,33,54.5,14,33,42.4,17,18,94.4,32,66,48.5,13,26,39,30,9,14,0,22,15,74.0,74.9,128.3,86.5,41.9,1.27,1.44,64.3,59.1,50.0,27.3,50.0,72.2,62.9,93.8,15.9,2.14,40.0
104466,2025,Jornada 1,MBA,4385,AWAY,UCM,4393,0,64,95,-31,59,16,39,41.0,5,21,23.8,17,23,73.9,21,60,35.0,10,13,23,16,6,13,2,15,21,74.0,73.1,86.5,128.3,-41.9,0.88,1.07,45.6,39.2,35.0,38.3,27.8,50.0,37.1,76.2,15.6,1.23,21.9
104467,2025,Jornada 1,VBC,4397,HOME,BAR,4386,1,93,81,12,111,17,32,53.1,12,25,48.0,23,28,82.1,29,57,50.9,8,25,33,24,6,13,2,19,20,75.8,74.3,122.7,106.9,15.8,1.25,1.63,67.1,61.4,43.9,49.1,30.8,62.5,50.0,82.8,15.8,1.85,32.3
104467,2025,Jornada 1,BAR,4386,AWAY,VBC,4397,0,81,93,-12,79,23,41,56.1,9,35,25.7,8,12,66.7,32,76,42.1,15,18,33,16,8,11,3,20,19,75.8,77.3,106.9,122.7,-15.8,1.05,1.07,49.8,48.0,46.1,15.8,37.5,69.2,50.0,50.0,11.9,1.45,20.7
104468,2025,Jornada 2,GIR,4399,HOME,UCM,4393,0,71,93,-22,62,15,31,48.4,8,36,22.2,17,21,81.0,23,67,34.3,11,25,36,16,2,12,0,24,22,76.7,77.2,92.6,121.3,-28.7,0.92,1.06,46.6,40.3,53.7,31.3,29.7,67.6,48.6,69.6,13.6,1.33,20.7
